ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp
2019-01-01 01:36:32+00:00,Windows 10 (10.0.17134; x64),1023,US,Unforgivable,Deji,Unforgivable,spotify:track:0EFLLMlHHamW7MrdS6THUr,playbtn,logout,False,False,False,
2019-01-01 01:38:38+00:00,Windows 10 (10.0.17134; x64),121905,US,Here Comes The Drop,Stafford Brothers,Here Comes The Drop,spotify:track:3y6JADmznQm9dJcLpzuBm8,clickrow,trackdone,False,False,False,
2019-01-01 01:38:48+00:00,Windows 10 (10.0.17134; x64),13949,US,House Party,Steff da Campo,House Party,spotify:track:6H1al5WaxpxknFR48iRyGP,trackdone,endplay,False,False,False,
2019-01-01 01:38:50+00:00,Windows 10 (10.0.17134; x64),2540,US,"thank u, next",Ariana Grande,"thank u, next",spotify:track:2rPE9A1vEgShuZxxzR2tZH,clickrow,fwdbtn,False,False,False,
2019-01-01 01:39:12+00:00,Windows 10 (10.0.17134; x64),21570,US,Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,spotify:track:5ChkMS8OtdzJeqyybCc9R5,fwdbtn,endplay,False,False,False,
2019-01-01 01:39:24+00:00,Windows 10 (10.0.17134; x64),11650,US,XO TOUR Llif3,Fame on Fire,XO TOUR Llif3,spotify:track:4e3S4W8SmflgP8jwK2ceTZ,clickrow,endplay,False,False,False,
2019-01-01 01:42:59+00:00,Windows 10 (10.0.17134; x64),215581,US,Good Neighbor,Lynda Carter,Fallout 4 (Original Game Soundtrack),spotify:track:5Bm5p6dZ9v6T131zGUgAvj,clickrow,trackdone,False,False,False,
2019-01-01 01:46:18+00:00,Windows 10 (10.0.17134; x64),199226,US,Undecided,Ella Fitzgerald,The Early Years - Part 2 (1939-1941),spotify:track:36KStm44i8gAqnQkm3PY9c,trackdone,trackdone,False,False,False,
2019-01-01 01:48:53+00:00,Windows 10 (10.0.17134; x64),153893,US,The Huntin's Over For Tonight,Grandpa Jones,Country Music Hall Of Fame,spotify:track:3gzHZApn3MzVtD5CPv68Wi,trackdone,trackdone,False,False,False,
2019-01-01 02:44:11+00:00,Windows 10 (10.0.17134; x64),136568,US,Good Rockin Tonight,Roy Brown,Good Rockin Tonight,spotify:track:08PeZeBDU73vHT23bkeydm,trackdone,endplay,False,False,False,
2019-01-01 02:44:15+00:00,Windows 10 (10.0.17134; x64),4330,US,Indestructible,Disturbed,Indestructible,spotify:track:42ZVk59gT4tMlrZmd8Ijxf,clickrow,endplay,False,False,False,
2019-01-01 02:47:18+00:00,Windows 10 (10.0.17134; x64),183906,US,Mo Bamba,Sheck Wes,MUDBOY,spotify:track:1xzBco0xcoJEDXktl7Jxrr,clickrow,trackdone,False,False,False,
