ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp
2018-01-01 00:00:44+00:00,Windows 10 (10.0.16299; x64),256162,US,Dark Knight Dummo (Feat. Travis Scott),Trippie Redd,Dark Knight Dummo (Feat. Travis Scott),spotify:track:3YeJXuRSNS5FYwOsDu44kD,fwdbtn,trackdone,False,False,False,
2018-01-01 00:01:21+00:00,Windows 10 (10.0.16299; x64),35587,US,"American Dream (feat. J. Cole, Kendrick Lamar)",Jeezy,Pressure,spotify:track:2j8MsmmNqmc6UBEA54KOlY,trackdone,fwdbtn,False,False,False,
2018-01-01 00:02:29+00:00,Windows 10 (10.0.16299; x64),68340,US,Hard Way (feat. Rae Sremmurd),RJMrLA,The Ghetto,spotify:track:6B1d6DVcimUHrKwlqJj1pZ,fwdbtn,endplay,False,False,False,
2018-01-01 00:02:41+00:00,Windows 10 (10.0.16299; x64),10114,US,,,,,appload,endplay,False,False,0.0,
2018-01-01 00:04:31+00:00,Windows 10 (10.0.16299; x64),109870,US,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],spotify:track:7Ed6BkggCS2KaKY5YlINaF,appload,fwdbtn,False,False,False,
2018-01-01 00:08:07+00:00,Windows 10 (10.0.16299; x64),216896,US,Havana (feat. Young Thug),Camila Cabello,Havana (feat. Young Thug),spotify:track:0ofbQMrRDsUaVKq2mGLEAb,fwdbtn,trackdone,False,False,False,
2018-01-01 00:09:40+00:00,Windows 10 (10.0.16299; x64),91893,US,Him & I,G-Eazy,Him & I,spotify:track:3YU6vJbjYUG0tiJyXf9x5V,trackdone,fwdbtn,False,False,False,
2018-01-01 00:13:18+00:00,Windows 10 (10.0.16299; x64),218320,US,rockstar,Post Malone,rockstar,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,fwdbtn,trackdone,False,False,False,
2018-01-01 00:13:44+00:00,Windows 10 (10.0.16299; x64),24530,US,Strip That Down,Liam Payne,Strip That Down,spotify:track:4Ro98RCK90oHqqSZUnTFq5,trackdone,endplay,False,False,False,
2018-01-01 00:13:44+00:00,Windows 10 (10.0.16299; x64),10,US,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],spotify:track:7Ed6BkggCS2KaKY5YlINaF,clickrow,endplay,False,False,False,
2018-01-01 00:13:50+00:00,Windows 10 (10.0.16299; x64),5710,US,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],spotify:track:7Ed6BkggCS2KaKY5YlINaF,clickrow,endplay,False,False,False,
2018-01-01 17:42:33+00:00,Windows 10 (10.0.16299; x64),189220,US,Strip That Down,Liam Payne,Strip That Down,spotify:track:4Ro98RCK90oHqqSZUnTFq5,clickrow,logout,False,False,False,
2018-01-01 20:19:20+00:00,Windows 10 (10.0.16299; x64),172800,US,Ric Flair Drip (with Metro Boomin),Offset,Without Warning,spotify:track:7sO5G9EABYOXQKNPNiE9NR,clickrow,trackdone,False,False,False,
2018-01-01 20:23:26+00:00,Windows 10 (10.0.16299; x64),245386,US,No Limit,G-Eazy,No Limit,spotify:track:2Xqd0wUttjueBfdcltADOv,trackdone,trackdone,False,False,False,
2018-01-01 20:26:49+00:00,Windows 10 (10.0.16299; x64),202636,US,Plain Jane REMIX (feat. Nicki Minaj),A$AP Ferg,Plain Jane REMIX (feat. Nicki Minaj),spotify:track:2YzmfPLqUx5CJOaw5ThsBV,trackdone,trackdone,False,False,False,
2018-01-01 20:29:34+00:00,Windows 10 (10.0.16299; x64),163927,US,Go Legend (& Metro Boomin),Big Sean,Double Or Nothing (& Metro Boomin),spotify:track:3wAI7MIQtTgwcRmwchPZBc,trackdone,fwdbtn,False,False,False,
2018-01-01 20:32:44+00:00,Windows 10 (10.0.16299; x64),191251,US,PICK IT UP (feat. A$AP Rocky),Famous Dex,Pick It Up (feat. A$AP Rocky),spotify:track:3ncgNpxLoBQ65ABk4djDyd,fwdbtn,trackdone,False,False,False,
2018-01-01 20:35:06+00:00,Windows 10 (10.0.16299; x64),140792,US,Saint,Huncho Jack,"Huncho Jack, Jack Huncho",spotify:track:7foypmc7KZyU716Yv63BPe,trackdone,trackdone,False,False,False,
2018-01-01 20:35:10+00:00,Windows 10 (10.0.16299; x64),3065,US,Gucci Gang,Lil Pump,Lil Pump,spotify:track:43ZyHQITOjhciSUUNPVRHc,trackdone,fwdbtn,False,False,False,
2018-01-01 20:36:12+00:00,Windows 10 (10.0.16299; x64),61580,US,Stir Fry,Migos,Stir Fry,spotify:track:4fndbjoz1qJyK6JcLdKfzm,fwdbtn,fwdbtn,False,False,False,
2018-01-01 20:39:17+00:00,Windows 10 (10.0.16299; x64),186026,US,Man's Not Hot,Big Shaq,Man's Not Hot,spotify:track:6X5OFBbrsHRsyO1zP7udgr,fwdbtn,trackdone,False,False,False,
2018-01-01 20:43:02+00:00,Windows 10 (10.0.16299; x64),224613,US,Bartier Cardi (feat. 21 Savage),Cardi B,Bartier Cardi (feat. 21 Savage),spotify:track:75FDPwaULRdYDn4StFN2rT,trackdone,trackdone,False,False,False,
2018-01-01 20:47:27+00:00,Windows 10 (10.0.16299; x64),264531,US,Codeine Dreaming (feat. Lil Wayne),Kodak Black,Project Baby 2: All Grown Up,spotify:track:4DTpngLjoHj5gFxEZFeD3J,trackdone,trackdone,False,False,False,
2018-01-01 20:51:16+00:00,Windows 10 (10.0.16299; x64),228431,US,Dubai Shit,Huncho Jack,"Huncho Jack, Jack Huncho",spotify:track:6urLjX35oXXRYtcH1b3dCh,trackdone,trackdone,False,False,False,
2018-01-01 20:54:54+00:00,Windows 10 (10.0.16299; x64),215877,US,So Good (& Metro Boomin),Big Sean,Double Or Nothing (& Metro Boomin),spotify:track:0fWBFDRTIuk8ZgNdZqhCer,trackdone,fwdbtn,False,False,False,
2018-01-01 20:55:35+00:00,Windows 10 (10.0.16299; x64),40690,US,Mall,Gucci Mane,El Gato: The Human Glacier,spotify:track:0frzpcv2zCUk13mn0X824T,fwdbtn,endplay,False,False,False,
2018-01-01 20:55:37+00:00,Windows 10 (10.0.16299; x64),255,US,,,,,appload,endplay,False,False,0.0,
2018-01-01 20:55:39+00:00,Windows 10 (10.0.16299; x64),2280,US,Letterman,Wiz Khalifa,"Laugh Now, Fly Later",spotify:track:4EsYkJjHKMejYLp54woB9c,appload,fwdbtn,False,False,False,
2018-01-01 20:59:53+00:00,Windows 10 (10.0.16299; x64),254779,US,Bring It Back (with Drake & Mike WiLL Made-It),Trouble,Bring It Back (with Drake & Mike WiLL Made-It),spotify:track:6wQlT5VQU5eM4NYBIJ6wO5,fwdbtn,trackdone,False,False,False,
2018-01-01 21:00:25+00:00,Windows 10 (10.0.16299; x64),30430,US,Ice Tray,Quality Control,Quality Control: Control The Streets Volume 1,spotify:track:3wdfLVUhmX64lIyWIIEW8s,trackdone,fwdbtn,False,False,False,
2018-01-01 22:18:25+00:00,Windows 10 (10.0.16299; x64),268933,US,Ghostface Killers (feat. Travis Scott),21 Savage,Without Warning,spotify:track:5u6vkDnOyaf8LsteDAj2ub,fwdbtn,trackdone,False,False,False,
2018-01-01 22:21:39+00:00,Windows 10 (10.0.16299; x64),193173,US,New Freezer (feat. Kendrick Lamar),Rich The Kid,New Freezer (feat. Kendrick Lamar),spotify:track:4pYZLpX23Vx8rwDpJCpPTA,trackdone,trackdone,False,False,False,
2018-01-01 22:25:21+00:00,Windows 10 (10.0.16299; x64),220995,US,Icon,Jaden,SYRE,spotify:track:22nyEAEM29tcBRhukR089b,trackdone,trackdone,False,False,False,
2018-01-01 22:26:49+00:00,Windows 10 (10.0.16299; x64),87397,US,20 Min,Lil Uzi Vert,Luv Is Rage 2 - Deluxe,spotify:track:0uxSUdBrJy9Un0EYoBowng,trackdone,endplay,False,False,False,
2018-01-01 22:30:33+00:00,Windows 10 (10.0.16299; x64),224613,US,Bartier Cardi (feat. 21 Savage),Cardi B,Bartier Cardi (feat. 21 Savage),spotify:track:75FDPwaULRdYDn4StFN2rT,clickrow,trackdone,False,False,False,
2018-01-01 22:33:27+00:00,Windows 10 (10.0.16299; x64),172800,US,Ric Flair Drip (with Metro Boomin),Offset,Without Warning,spotify:track:7sO5G9EABYOXQKNPNiE9NR,trackdone,trackdone,False,False,False,
2018-01-01 22:37:52+00:00,Windows 10 (10.0.16299; x64),264531,US,Codeine Dreaming (feat. Lil Wayne),Kodak Black,Project Baby 2: All Grown Up,spotify:track:4DTpngLjoHj5gFxEZFeD3J,trackdone,trackdone,False,False,False,
2018-01-01 22:41:25+00:00,Windows 10 (10.0.16299; x64),213400,US,LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,spotify:track:6PGoSes0D9eUDeeAafB2As,trackdone,trackdone,False,False,False,
2018-01-01 22:41:30+00:00,Windows 10 (10.0.16299; x64),3215,US,Betrayed,Lil Xan,Betrayed,spotify:track:6NWl2m8asvH83xjuXVNsuG,trackdone,fwdbtn,False,False,False,
2018-01-02 02:02:11+00:00,Windows 10 (10.0.16299; x64),189280,US,Danger (with Migos & Marshmello),Migos,Danger (with Migos & Marshmello) [From Bright: The Album],spotify:track:0nhVrTiCGiGRCoZOJiWzm1,fwdbtn,logout,False,False,False,
2018-01-02 02:02:24+00:00,Windows 10 (10.0.16299; x64),9470,US,Danger (with Migos & Marshmello),Migos,Danger (with Migos & Marshmello) [From Bright: The Album],spotify:track:0nhVrTiCGiGRCoZOJiWzm1,appload,endplay,False,False,False,
2018-01-02 02:06:26+00:00,Windows 10 (10.0.16299; x64),242587,US,Begin - Recorded at Spotify Studios NYC,Shallou,Spotify Singles,spotify:track:0q59zQZgCwEhwzzipPvWoZ,clickrow,trackdone,False,False,False,
2018-01-02 02:10:47+00:00,Windows 10 (10.0.16299; x64),260000,US,Make,Marsh,Life On The Shore,spotify:track:6AH8ij4nREJn2qSWoXg0xd,trackdone,trackdone,False,False,False,
2018-01-02 02:13:59+00:00,Windows 10 (10.0.16299; x64),192000,US,Belong - Aguelando Remix,Axwell,Belong,spotify:track:3LoLRXZgZO3FhqLdUenZKC,trackdone,trackdone,False,False,False,
2018-01-02 02:17:43+00:00,Windows 10 (10.0.16299; x64),223218,US,Snow In Gothenburg,Kasbo,Snow In Gothenburg,spotify:track:0TYvXNcI8kzSELAvflQOIi,trackdone,trackdone,False,False,False,
2018-01-02 02:20:23+00:00,Windows 10 (10.0.16299; x64),160000,US,Sun Models,ODESZA,In Return,spotify:track:7jZHUhAmW5oq1cq6s8IxmK,trackdone,trackdone,False,False,False,
2018-01-02 02:24:18+00:00,Windows 10 (10.0.16299; x64),234239,US,You and Me,Shallou,You and Me,spotify:track:577anBvdqX2NHWVLERO6wb,trackdone,trackdone,False,False,False,
2018-01-02 02:31:31+00:00,Windows 10 (10.0.16299; x64),211312,US,I Miss You (feat. Julia Michaels) - Matoma Remix,Clean Bandit,I Miss You (feat. Julia Michaels),spotify:track:0fRbDwLbGXEycmlMkulh3D,trackdone,trackdone,False,False,False,
2018-01-02 02:34:29+00:00,Windows 10 (10.0.16299; x64),177302,US,NYC,J Lisk,NYC,spotify:track:3cwqgZliTZTLVhPOyXKqD6,trackdone,trackdone,False,False,False,
2018-01-02 02:38:08+00:00,Windows 10 (10.0.16299; x64),219027,US,Drive,Emmit Fenn,Eclipse - EP,spotify:track:30XyNcZhQl1hKmOe0di1l6,trackdone,trackdone,False,False,False,
2018-01-02 02:41:57+00:00,Windows 10 (10.0.16299; x64),228162,US,Truth,Shallou,All Becomes Okay,spotify:track:0C7sbRykiD9VGrz1rXmv0T,trackdone,trackdone,False,False,False,
2018-01-02 02:44:06+00:00,Windows 10 (10.0.16299; x64),128008,US,Cola - Elderbrook Chilled Mix,CamelPhat,Cola,spotify:track:31s5sxknCQOld8PItLYvoI,trackdone,fwdbtn,False,False,False,
2018-01-02 02:46:09+00:00,Windows 10 (10.0.16299; x64),123380,US,No Time Like Now,ILLENIUM,Awake,spotify:track:2uA2UMcHR5gztUSECJjK8k,fwdbtn,trackdone,False,False,False,
2018-01-02 02:50:10+00:00,Windows 10 (10.0.16299; x64),240796,US,Nobody Like You - Sun Soaked Mix,Kaskade,Redux EP 002,spotify:track:61b7m8jNskWINV4yZCaflc,trackdone,trackdone,False,False,False,
2018-01-02 02:51:04+00:00,Windows 10 (10.0.16299; x64),52773,US,Astronaut - Something About Your Love,Mansionair,Astronaut,spotify:track:4sG6J4S2FCuMr3oooYAwFS,trackdone,fwdbtn,False,False,False,
2018-01-02 02:54:58+00:00,Windows 10 (10.0.16299; x64),234244,US,A Moment Apart,ODESZA,A Moment Apart,spotify:track:59wlTaYOL5tDUgXnbBQ3my,fwdbtn,trackdone,False,False,False,
2018-01-02 02:57:43+00:00,Windows 10 (10.0.16299; x64),164750,US,Be Like You - Dante Klein RMX,CVBZ,Be Like You,spotify:track:4F47yMP9WPb2MMvOUxNHKB,trackdone,trackdone,False,False,False,
2018-01-02 03:00:42+00:00,Windows 10 (10.0.16299; x64),178749,US,Follow You - Tep No Edit,Jamie Brown,Follow You,spotify:track:6nLiGGHvvRoOucPIr1lbgL,trackdone,trackdone,False,False,False,
2018-01-02 03:04:17+00:00,Windows 10 (10.0.16299; x64),214372,US,Halo 22,Emmit Fenn,Eclipse - EP,spotify:track:63S7SUciJiuLSmEuqpAjKT,trackdone,trackdone,False,False,False,
2018-01-02 03:08:14+00:00,Windows 10 (10.0.16299; x64),236279,US,Pacing,Tep No,Pacing,spotify:track:6cWZQNgaL8yLtezJvag9Y9,trackdone,trackdone,False,False,False,
2018-01-02 03:11:09+00:00,Windows 10 (10.0.16299; x64),174132,US,Brain,Kiso,The Brain EP,spotify:track:4iZopTqtJgB3XgLe1kZoHU,trackdone,trackdone,False,False,False,
2018-01-02 03:12:17+00:00,Windows 10 (10.0.16299; x64),67121,US,Clsr,Kiso,The Brain EP,spotify:track:6G4THRgM0UpFSABjuYrG2u,trackdone,fwdbtn,False,False,False,
