ts,platform,ms_played,conn_country,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp
2017-11-27 21:01:20+00:00,"iOS 11.1.2 (iPhone9,4)",228080,US,Wanted You (feat. Lil Uzi Vert),NAV,Wanted You (feat. Lil Uzi Vert),spotify:track:790MhTXPFrYkrqCKvpg4t1,trackdone,trackdone,False,False,False,
2017-11-27 21:04:01+00:00,"iOS 11.1.2 (iPhone9,4)",172800,US,Ric Flair Drip (with Metro Boomin),Offset,Without Warning,spotify:track:7sO5G9EABYOXQKNPNiE9NR,trackdone,trackdone,False,False,False,
2017-11-27 21:07:09+00:00,"iOS 11.1.2 (iPhone9,4)",187453,US,Betrayed,Lil Xan,Betrayed,spotify:track:6NWl2m8asvH83xjuXVNsuG,trackdone,trackdone,False,False,False,
2017-11-27 23:40:40+00:00,Windows 10 (10.0.16299; x64),169777,US,MotorSport,Migos,MotorSport,spotify:track:1YZfcVLbbJwfizR5cDOp3q,trackdone,logout,False,False,False,
2017-11-27 23:45:03+00:00,Windows 10 (10.0.16299; x64),229573,US,Candy Paint,Post Malone,Candy Paint,spotify:track:42CeaId2XNlxugDvyqHfDf,clickrow,trackdone,False,False,False,
2017-11-27 23:48:42+00:00,Windows 10 (10.0.16299; x64),218320,US,rockstar,Post Malone,rockstar,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,trackdone,trackdone,False,False,False,
2017-11-27 23:48:59+00:00,Windows 10 (10.0.16299; x64),16067,US,Congratulations - Remix,Post Malone,Congratulations,spotify:track:2YK01AIIWuywG24gsbuizE,trackdone,endplay,False,False,False,
2017-11-27 23:54:53+00:00,Windows 10 (10.0.16299; x64),354320,US,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,spotify:track:7tFiyTwD0nx5a1eklYtX2J,clickrow,trackdone,False,False,False,
2017-11-27 23:56:30+00:00,Windows 10 (10.0.16299; x64),95370,US,Don't Stop Me Now - Remastered 2011,Queen,Jazz,spotify:track:7hQJA50XrCWABAu5v6QZ4i,trackdone,endplay,False,False,False,
2017-11-28 01:09:15+00:00,Windows 10 (10.0.16299; x64),135170,US,Living on My Own - Single Edit,Freddie Mercury,Messenger of the Gods: The Singles Collection,spotify:track:1Lc9JahgQBinguxIJREPfd,clickrow,logout,False,False,False,
2017-11-28 02:42:51+00:00,Windows 10 (10.0.16299; x64),286100,US,rockstar,Post Malone,rockstar,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,clickrow,trackdone,False,False,False,
2017-11-28 02:46:39+00:00,Windows 10 (10.0.16299; x64),228080,US,Wanted You (feat. Lil Uzi Vert),NAV,Wanted You (feat. Lil Uzi Vert),spotify:track:790MhTXPFrYkrqCKvpg4t1,trackdone,trackdone,False,False,False,
2017-11-28 02:49:33+00:00,Windows 10 (10.0.16299; x64),172800,US,Ric Flair Drip (with Metro Boomin),Offset,Without Warning,spotify:track:7sO5G9EABYOXQKNPNiE9NR,trackdone,trackdone,False,False,False,
2017-11-28 02:52:41+00:00,Windows 10 (10.0.16299; x64),187453,US,Betrayed,Lil Xan,Betrayed,spotify:track:6NWl2m8asvH83xjuXVNsuG,trackdone,trackdone,False,False,False,
2017-11-28 03:45:22+00:00,Windows 10 (10.0.16299; x64),229573,US,Candy Paint,Post Malone,Candy Paint,spotify:track:42CeaId2XNlxugDvyqHfDf,trackdone,trackdone,False,False,False,
2017-11-28 03:54:21+00:00,Windows 10 (10.0.16299; x64),34613,US,No Limit,G-Eazy,No Limit,spotify:track:2Xqd0wUttjueBfdcltADOv,trackdone,endplay,False,False,False,
2017-11-28 03:58:49+00:00,Windows 10 (10.0.16299; x64),268863,US,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,The Way Life Goes (feat. Nicki Minaj & Oh Wonder),spotify:track:6GNifiuBPrKFpwNBYnooFm,clickrow,trackdone,False,False,False,
2017-11-28 04:03:57+00:00,Windows 10 (10.0.16299; x64),307660,US,MotorSport,Migos,MotorSport,spotify:track:1YZfcVLbbJwfizR5cDOp3q,trackdone,trackdone,False,False,False,
2017-11-29 02:41:17+00:00,Windows 10 (10.0.16299; x64),111596,US,Fuck Love,XXXTENTACION,17,spotify:track:7AQim7LbvFVZJE3O8TYgf2,trackdone,logout,False,False,False,
2017-11-30 20:39:54+00:00,"iOS 11.1.2 (iPhone9,4)",72776,US,Candy Paint,Post Malone,Candy Paint,spotify:track:42CeaId2XNlxugDvyqHfDf,trackdone,logout,False,False,False,
